observation_date,MRTSSM45321USN
2018-11-01,869
2018-12-01,974
2019-01-01,1010
2019-02-01,831
2019-03-01,887
2019-04-01,846
2019-05-01,826
2019-06-01,749
2019-07-01,889
2019-08-01,1258
2019-09-01,892
2019-10-01,831
2019-11-01,770
2019-12-01,910
2020-01-01,964
2020-02-01,817
2020-03-01,870
2020-04-01,607
2020-05-01,710
2020-06-01,784
2020-07-01,876
2020-08-01,1112
2020-09-01,975
2020-10-01,807
2020-11-01,731
2020-12-01,922
2021-01-01,896
2021-02-01,774
2021-03-01,904
2021-04-01,828
2021-05-01,784
2021-06-01,773
2021-07-01,811
2021-08-01,1124
2021-09-01,912
2021-10-01,766
2021-11-01,735
2021-12-01,835
2022-01-01,812
2022-02-01,744
2022-03-01,870
2022-04-01,804
2022-05-01,779
2022-06-01,771
2022-07-01,869
2022-08-01,1079
2022-09-01,858
2022-10-01,782
2022-11-01,715
2022-12-01,905
2023-01-01,924
2023-02-01,752
2023-03-01,860
2023-04-01,752
2023-05-01,780
2023-06-01,738
2023-07-01,787
2023-08-01,1037
2023-09-01,809
2023-10-01,720
2023-11-01,637
2023-12-01,739
2024-01-01,733
2024-02-01,660
2024-03-01,661
2024-04-01,649
2024-05-01,644
2024-06-01,596
2024-07-01,697
2024-08-01,874
2024-09-01,651
2024-10-01,629
